-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Latitude  28.6095   Longitude 77.1367 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_LW_DWN,WS50M
2020,1,1,292.24,3.55
2020,1,2,307.84,3.02
2020,1,3,314.62,2.37
2020,1,4,311.89,2.97
2020,1,5,313.35,3.16
2020,1,6,353.94,3.32
2020,1,7,357.63,4.69
2020,1,8,364.15,4.38
2020,1,9,299.6,5.86
2020,1,10,286.44,5.03
2020,1,11,288.37,3.34
2020,1,12,303.86,2.89
2020,1,13,359.86,6.04
2020,1,14,341.86,4.0
2020,1,15,331.05,4.16
2020,1,16,357.65,2.8
2020,1,17,341.72,3.27
2020,1,18,344.8,2.45
2020,1,19,311.95,4.37
2020,1,20,341.77,3.6
2020,1,21,334.96,3.97
2020,1,22,322.29,5.16
2020,1,23,277.46,7.95
2020,1,24,273.08,7.34
2020,1,25,293.39,3.51
2020,1,26,306.2,3.02
2020,1,27,349.05,5.47
2020,1,28,361.09,4.51
2020,1,29,317.23,3.8
2020,1,30,287.54,5.06
2020,1,31,291.77,3.4
2020,2,1,291.02,2.95
2020,2,2,292.36,4.51
2020,2,3,283.85,2.69
2020,2,4,298.4,4.09
2020,2,5,300.9,5.42
2020,2,6,290.88,3.58
2020,2,7,293.66,4.36
2020,2,8,294.11,4.34
2020,2,9,303.0,3.09
2020,2,10,306.31,2.86
2020,2,11,307.85,2.52
2020,2,12,323.27,5.37
2020,2,13,325.65,7.91
2020,2,14,313.36,8.92
2020,2,15,295.38,7.45
2020,2,16,295.05,4.96
2020,2,17,298.54,4.81
2020,2,18,296.14,4.98
2020,2,19,319.97,6.11
2020,2,20,358.53,9.17
2020,2,21,373.53,7.3
2020,2,22,347.5,4.2
2020,2,23,346.12,3.19
2020,2,24,328.18,4.62
2020,2,25,335.82,4.49
2020,2,26,335.71,3.44
2020,2,27,347.59,4.79
2020,2,28,367.65,6.98
2020,2,29,370.05,6.75
2020,3,1,356.27,4.59
2020,3,2,347.07,2.88
2020,3,3,348.55,3.69
2020,3,4,360.91,3.77
2020,3,5,370.53,6.23
2020,3,6,376.7,6.25
2020,3,7,359.73,3.58
2020,3,8,336.28,4.3
2020,3,9,306.24,6.65
2020,3,10,343.64,3.79
2020,3,11,372.06,5.16
2020,3,12,355.23,3.92
2020,3,13,326.27,5.21
2020,3,14,359.35,3.8
2020,3,15,335.62,2.55
2020,3,16,333.53,3.44
2020,3,17,329.64,4.17
2020,3,18,345.65,4.31
2020,3,19,353.27,3.41
2020,3,20,372.33,2.8
2020,3,21,372.01,2.62
2020,3,22,356.72,4.39
2020,3,23,367.56,3.22
2020,3,24,395.16,3.62
2020,3,25,377.88,4.12
2020,3,26,390.84,5.06
2020,3,27,395.96,4.52
2020,3,28,346.94,5.28
2020,3,29,335.22,6.93
2020,3,30,336.77,6.08
2020,3,31,364.0,5.56
2020,4,1,368.78,4.02
2020,4,2,350.26,6.76
2020,4,3,333.55,6.15
2020,4,4,336.73,5.02
2020,4,5,359.73,3.54
2020,4,6,361.05,5.21
2020,4,7,364.67,5.21
2020,4,8,363.55,5.73
2020,4,9,360.52,5.95
2020,4,10,372.07,3.85
2020,4,11,383.66,4.34
2020,4,12,382.39,6.36
2020,4,13,394.61,5.73
2020,4,14,410.7,2.7
