-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Latitude  28.6763   Longitude 77.225 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_LW_DWN,WS50M
2020,1,1,292.24,3.52
2020,1,2,307.84,3.47
2020,1,3,314.62,3.16
2020,1,4,311.89,3.58
2020,1,5,313.35,4.39
2020,1,6,353.94,4.03
2020,1,7,357.63,4.74
2020,1,8,364.15,4.27
2020,1,9,299.6,6.32
2020,1,10,286.44,5.57
2020,1,11,288.37,3.83
2020,1,12,303.86,2.72
2020,1,13,359.86,5.2
2020,1,14,341.86,4.14
2020,1,15,331.05,4.12
2020,1,16,357.65,4.05
2020,1,17,341.72,4.44
2020,1,18,344.8,3.66
2020,1,19,311.95,5.38
2020,1,20,341.77,4.2
2020,1,21,334.96,3.3
2020,1,22,322.29,5.27
2020,1,23,277.46,8.47
2020,1,24,273.08,7.44
2020,1,25,293.39,4.01
2020,1,26,306.2,4.09
2020,1,27,349.05,4.04
2020,1,28,361.09,4.05
2020,1,29,317.23,3.64
2020,1,30,287.54,6.52
2020,1,31,291.77,4.52
2020,2,1,291.02,3.52
2020,2,2,292.36,5.69
2020,2,3,283.85,3.51
2020,2,4,298.4,3.38
2020,2,5,300.9,5.91
2020,2,6,290.88,3.91
2020,2,7,293.66,4.65
2020,2,8,294.11,5.3
2020,2,9,303.0,4.15
2020,2,10,306.31,3.73
2020,2,11,307.85,3.25
2020,2,12,323.27,6.14
2020,2,13,325.65,8.36
2020,2,14,313.36,9.38
2020,2,15,295.38,7.38
2020,2,16,295.05,5.62
2020,2,17,298.54,5.73
2020,2,18,296.14,5.65
2020,2,19,319.97,5.74
2020,2,20,358.53,8.77
2020,2,21,373.53,7.52
2020,2,22,347.5,3.87
2020,2,23,346.12,2.66
2020,2,24,328.18,5.07
2020,2,25,335.82,4.67
2020,2,26,335.71,3.84
2020,2,27,347.59,4.55
2020,2,28,367.65,6.58
2020,2,29,370.05,6.12
2020,3,1,356.27,3.98
2020,3,2,347.07,3.38
2020,3,3,348.55,4.12
2020,3,4,360.91,3.98
2020,3,5,370.53,5.87
2020,3,6,376.7,6.68
2020,3,7,359.73,2.88
2020,3,8,336.28,4.18
2020,3,9,306.24,7.25
2020,3,10,343.64,4.16
2020,3,11,372.06,5.37
2020,3,12,355.23,5.04
2020,3,13,326.27,3.48
2020,3,14,359.35,4.24
2020,3,15,335.62,2.73
2020,3,16,333.53,4.02
2020,3,17,329.64,5.42
2020,3,18,345.65,5.46
2020,3,19,353.27,3.88
2020,3,20,372.33,2.26
2020,3,21,372.01,2.01
2020,3,22,356.72,4.16
2020,3,23,367.56,4.06
2020,3,24,395.16,3.63
2020,3,25,377.88,5.27
2020,3,26,390.84,6.16
2020,3,27,395.96,4.92
2020,3,28,346.94,5.8
2020,3,29,335.22,7.74
2020,3,30,336.77,6.98
2020,3,31,364.0,6.29
2020,4,1,368.78,4.48
2020,4,2,350.26,7.16
2020,4,3,333.55,7.01
2020,4,4,336.73,6.21
2020,4,5,359.73,4.16
2020,4,6,361.05,6.16
2020,4,7,364.67,6.68
2020,4,8,363.55,6.27
2020,4,9,360.52,6.25
2020,4,10,372.07,4.93
2020,4,11,383.66,4.89
2020,4,12,382.39,7.01
2020,4,13,394.61,6.14
2020,4,14,410.7,2.09
2020,4,15,395.44,3.63
2020,4,16,393.29,6.27
2020,4,17,399.46,4.2
2020,4,18,403.15,5.11
2020,4,19,380.18,5.51
2020,4,20,394.95,5.3
2020,4,21,380.68,4.34
2020,4,22,380.59,4.2
2020,4,23,411.37,4.76
2020,4,24,394.12,2.76
2020,4,25,413.2,1.9
2020,4,26,417.7,5.38
2020,4,27,382.78,6.12
2020,4,28,396.78,3.27
2020,4,29,412.93,1.82
2020,4,30,427.49,2.92
2020,5,1,419.44,4.48
2020,5,2,419.77,5.31
2020,5,3,440.47,5.64
2020,5,4,413.67,3.23
2020,5,5,402.91,3.15
2020,5,6,423.95,3.16
2020,5,7,403.02,4.58
2020,5,8,398.2,2.96
2020,5,9,414.98,3.09
2020,5,10,443.7,4.52
2020,5,11,436.14,4.32
2020,5,12,429.16,2.89
2020,5,13,443.66,2.81
2020,5,14,429.62,2.84
2020,5,15,426.12,6.65
2020,5,16,401.24,7.83
2020,5,17,429.23,4.45
2020,5,18,406.96,5.5
2020,5,19,387.27,5.62
2020,5,20,379.2,6.38
2020,5,21,382.42,8.25
2020,5,22,397.27,4.04
2020,5,23,436.59,4.41
2020,5,24,428.68,6.66
2020,5,25,423.27,6.59
2020,5,26,429.61,7.07
2020,5,27,446.57,3.93
2020,5,28,466.35,8.06
2020,5,29,463.41,7.32
2020,5,30,439.1,5.47
2020,5,31,446.32,2.8
2020,6,1,420.41,3.48
2020,6,2,439.45,3.0
2020,6,3,447.74,2.98
2020,6,4,443.24,4.25
2020,6,5,435.8,3.64
2020,6,6,432.02,3.08
2020,6,7,452.98,3.14
2020,6,8,456.79,3.14
2020,6,9,461.93,3.42
2020,6,10,479.67,3.38
2020,6,11,473.74,2.51
2020,6,12,465.26,2.8
2020,6,13,474.69,3.69
2020,6,14,461.23,3.01
2020,6,15,454.65,2.82
2020,6,16,462.3,2.71
2020,6,17,460.3,4.09
2020,6,18,467.64,4.67
2020,6,19,475.69,3.8
2020,6,20,481.45,3.98
2020,6,21,462.46,2.99
2020,6,22,454.24,2.78
2020,6,23,455.12,5.73
2020,6,24,450.44,4.05
2020,6,25,459.3,2.58
2020,6,26,460.73,3.88
2020,6,27,471.27,7.01
2020,6,28,466.51,7.09
2020,6,29,470.73,5.5
2020,6,30,459.45,4.26
2020,7,1,453.62,2.98
2020,7,2,469.91,4.36
2020,7,3,467.76,4.41
2020,7,4,456.23,4.72
2020,7,5,440.42,3.45
2020,7,6,445.9,3.12
2020,7,7,445.48,7.51
2020,7,8,454.31,4.69
2020,7,9,455.52,3.78
2020,7,10,457.56,7.21
2020,7,11,458.55,4.97
2020,7,12,442.8,2.89
2020,7,13,444.61,4.38
2020,7,14,458.85,3.3
2020,7,15,454.45,4.73
2020,7,16,457.91,5.48
2020,7,17,460.84,4.79
2020,7,18,458.86,2.84
2020,7,19,450.52,4.67
2020,7,20,452.59,4.99
2020,7,21,454.73,3.26
2020,7,22,455.77,2.78
2020,7,23,436.3,4.02
2020,7,24,445.26,4.82
2020,7,25,445.06,4.56
2020,7,26,455.23,2.93
2020,7,27,454.72,4.07
2020,7,28,457.92,4.34
2020,7,29,456.01,5.22
2020,7,30,441.89,2.76
2020,7,31,446.31,3.02
2020,8,1,448.73,3.16
2020,8,2,443.98,3.91
2020,8,3,453.93,4.79
2020,8,4,462.61,3.83
2020,8,5,449.27,4.16
2020,8,6,447.88,8.67
2020,8,7,450.44,6.1
2020,8,8,453.02,1.66
2020,8,9,451.12,1.5
2020,8,10,450.12,3.86
2020,8,11,454.68,4.31
2020,8,12,452.84,4.38
2020,8,13,447.55,3.26
2020,8,14,443.88,4.24
2020,8,15,451.74,5.07
2020,8,16,447.36,4.08
2020,8,17,451.68,3.77
2020,8,18,451.51,3.09
2020,8,19,446.05,2.79
2020,8,20,439.87,4.45
2020,8,21,435.49,6.12
2020,8,22,437.44,6.37
2020,8,23,444.13,6.82
2020,8,24,440.26,6.53
2020,8,25,444.09,5.13
2020,8,26,440.48,4.37
2020,8,27,442.18,2.95
2020,8,28,441.05,2.23
2020,8,29,443.07,3.73
2020,8,30,444.59,9.89
2020,8,31,438.47,6.03
2020,9,1,437.39,3.64
2020,9,2,440.17,2.55
2020,9,3,437.66,5.23
2020,9,4,434.44,3.73
2020,9,5,433.06,3.08
2020,9,6,437.08,2.47
2020,9,7,435.57,2.81
2020,9,8,432.66,3.84
2020,9,9,429.69,3.68
2020,9,10,432.83,4.25
2020,9,11,444.36,3.55
2020,9,12,428.04,3.67
2020,9,13,431.3,3.0
2020,9,14,438.41,3.15
2020,9,15,435.67,2.82
2020,9,16,437.74,3.27
2020,9,17,438.76,5.57
2020,9,18,436.77,5.27
2020,9,19,435.89,3.24
2020,9,20,426.75,4.5
2020,9,21,427.92,4.2
2020,9,22,435.53,3.55
2020,9,23,432.44,3.53
2020,9,24,433.3,3.35
2020,9,25,422.96,4.78
2020,9,26,434.19,3.58
2020,9,27,420.3,3.05
2020,9,28,406.05,3.77
2020,9,29,402.55,5.6
2020,9,30,392.34,5.93
2020,10,1,386.88,5.03
2020,10,2,385.71,3.62
2020,10,3,388.65,4.2
2020,10,4,377.73,4.02
2020,10,5,367.52,4.97
2020,10,6,373.2,4.68
2020,10,7,377.22,3.73
2020,10,8,378.84,3.84
2020,10,9,383.4,3.15
2020,10,10,385.1,4.23
2020,10,11,378.55,4.21
2020,10,12,377.8,3.01
2020,10,13,406.84,2.64
2020,10,14,411.35,3.56
2020,10,15,381.67,4.5
2020,10,16,365.12,4.72
2020,10,17,376.19,4.09
2020,10,18,373.44,5.69
2020,10,19,359.26,6.01
2020,10,20,339.17,5.09
2020,10,21,361.49,3.32
2020,10,22,381.12,2.89
2020,10,23,366.72,4.67
2020,10,24,363.78,4.07
2020,10,25,366.1,3.33
2020,10,26,365.04,4.34
2020,10,27,369.2,5.28
2020,10,28,355.77,2.9
2020,10,29,354.37,3.38
2020,10,30,334.77,5.16
2020,10,31,336.3,6.88
2020,11,1,321.09,5.88
2020,11,2,312.43,5.63
2020,11,3,321.95,3.82
2020,11,4,346.91,4.16
2020,11,5,355.59,4.1
2020,11,6,357.38,4.11
2020,11,7,347.9,4.23
2020,11,8,363.41,3.27
2020,11,9,343.34,3.76
2020,11,10,345.16,2.44
2020,11,11,346.88,2.6
2020,11,12,348.46,3.17
2020,11,13,337.19,3.62
2020,11,14,350.74,2.5
2020,11,15,374.39,4.66
2020,11,16,386.09,3.96
2020,11,17,342.2,5.12
2020,11,18,328.35,4.27
2020,11,19,327.8,5.14
2020,11,20,295.48,7.23
2020,11,21,282.05,8.0
2020,11,22,292.34,5.41
2020,11,23,311.87,2.65
2020,11,24,326.2,2.74
2020,11,25,361.8,2.65
2020,11,26,341.68,5.85
2020,11,27,310.12,6.55
2020,11,28,304.96,6.05
2020,11,29,300.45,4.43
2020,11,30,309.42,4.07
2020,12,1,318.34,4.57
2020,12,2,314.63,6.18
2020,12,3,321.15,3.63
2020,12,4,320.62,2.2
2020,12,5,333.45,3.77
2020,12,6,337.91,3.82
2020,12,7,337.24,5.94
2020,12,8,324.64,3.21
2020,12,9,342.73,4.06
2020,12,10,347.27,4.25
2020,12,11,357.48,3.42
2020,12,12,372.86,3.99
2020,12,13,337.53,6.84
2020,12,14,309.2,5.71
2020,12,15,303.81,5.69
2020,12,16,293.43,7.41
2020,12,17,279.41,7.54
2020,12,18,265.78,7.64
2020,12,19,280.59,7.53
2020,12,20,292.31,6.89
2020,12,21,310.06,6.0
2020,12,22,306.61,4.59
2020,12,23,303.81,4.87
2020,12,24,302.87,5.46
2020,12,25,285.21,6.14
2020,12,26,306.18,5.34
2020,12,27,345.59,4.14
2020,12,28,276.12,6.61
2020,12,29,270.83,7.09
2020,12,30,302.96,6.11
2020,12,31,321.49,5.23
